question_index,question,answer,question_type,original_ground_truth
,"What is Tyler Durden's mission about? (A) Self-improvement (B) Self-destruction (C) Masturbation (D) Subversive acts, both large and small",Self-destruction,,Self-destruction
,"Why does Jack stop going to meetings for the terminally ill? (A) His apartment explodes, and he must move out of the meeting area. (B) He dies from a terminal illness. (C) Bob, from the testicular cancer group, has become too clingy. (D) A woman, Marla, starts coming to the same meetings. Marla is not terminally ill.","A woman, Marla, starts coming to the same meetings. Marla is not terminally ill.",,"A woman, Marla, starts coming to the same meetings. Marla is not terminally ill."
,"In the review of ""Fight Club,"" lines from Tyler Durden cited by the reviewer illustrate the following literary device: (A) allusion (B) personification (C) metaphor (D) irony",metaphor,,metaphor
,"Which of the following terms DOES NOT describe the reviewer's tone toward the director and screenwriter of ""Fight Club""? (A) confused (B) critical (C) unimpressed (D) condescending",confused,,confused
,"The reviewer of ""Fight Club"" believes that the film could have benefitted from: (A) More diverse points-of-view (B) More explicit commentary on the dangers of consumerism (C) A less predictable and facetious ending (D) Less obvious situational irony",More diverse points-of-view,,More diverse points-of-view
,"Which terms describe how the reviewers compare Brad Pitt's performance to Hilary Swank's, respectively? (A) Irritating / Courageous (B) Facetious / Naive (C) Disjointed / Measured (D) Conceited / Captivating",Conceited / Captivating,,Conceited / Captivating
,"According to the reviewers, Jack from ""Fight Club"" and Brandon Teena from ""Boys Don't Cry"" share the following: (A) An unsupportive family (B) An addictive personality (C) A fascination with masculinity (D) A sleep disorder",A fascination with masculinity,,A fascination with masculinity
,"According to the reviewer of ""Boys Don't Cry,"" Brandon Teena feels more connected to their true identity by engaging in all of the following acts EXCEPT: (A) Confiding in their family (B) Getting dirty (C) Flirting with women (D) Drinking in a bar",Confiding in their family,,Confiding in their family
,"Of the four films reviewed in the passage, which one has received the LEAST positive review? (A) Fight Club (B) Mumford (C) Boys Don't Cry (D) Happy Texas",Happy Texas,,Happy Texas
,"Does the author feel Fight Club is an original concept? (A) Yes, the film points to new possibilities in storytelling. (B) No, but voice-over narration is back in style. (C) No, it feels like a mixture of Johnny Rotten, Jake La Motta, and Jesus. (D) No, it feels like corporate-subsidized art.","No, it feels like a mixture of Johnny Rotten, Jake La Motta, and Jesus.",,"No, it feels like a mixture of Johnny Rotten, Jake La Motta, and Jesus."
,What is the author's least favorite film out of the four reviews? (A) Fight Club (B) Boys Don't Cry (C) Mumford (D) Happy Texas,Happy Texas,,Happy Texas
,Why was Brandon raped and murdered? (A) He was involved in a barroom brawl. (B) He was raped and murdered after his physical gender was discovered. (C) He was attacked after hitting on a beautiful girl in a bar. (D) He was attacked after surfing from the bumper of a pickup truck.,He was raped and murdered after his physical gender was discovered.,,He was raped and murdered after his physical gender was discovered.
,Which character does the author feel represents the perplexity at the center of Boys Don't Cry? (A) Brandon Teena (B) Lana (C) John (D) Pierce,Lana,,Lana
,"How does the author feel about Mumford? (A) It was a flop. (B) It's like a noir Norman Rockwell painting. (C) The author loved it, even though it was a flop. (D) The film gave the author psychological mumps.","The author loved it, even though it was a flop.",,"The author loved it, even though it was a flop."
,To which actor did the author credit a slightly better than normal performance? (A) Ted Danson (B) Loren Dean (C) Brad Pitt (D) Steve Zahn,Brad Pitt,,Brad Pitt
,"Of the four films reviewed in the passage, which one has received the MOST positive review? (A) Fight Club (B) Happy Texas (C) Boys Don't Cry (D) Mumford",Boys Don't Cry,,Boys Don't Cry
,All four of the films reviewed share the following theme: (A) gender (B) sexuality (C) consumerism (D) identity,identity,,identity
